id,FullAskText,аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ,аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ,аНИЙН юМДПЁИ юМЮРНКЁИНБХВ,бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ,цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ,цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ,цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ,цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ,дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ,дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ,фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ,йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ,йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ,йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ,йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ,йНЯРЧЙНБХВ дЛХРПН йЮПКНБХВ,лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ,лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ,лХЙСКЪЙ ╡БЮМ лХУЮИКНБХВ,мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ,мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ,оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ,оНКЮРЮИЙН нКЕЙЯЮМДП лХЙНКЮИНБХВ,оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ,пНГАЮЛ лХЙНКЮ мЧЯЕБХВ,яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ,яЁЛЮЬЙЕБХВ лХУЮИКН ╙БЯРЮТЁИНБХВ,яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ,яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ,рЙЮВ нКЕЦ бЮЯХКЭНБХВ,рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ,жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ,вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ,вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ,ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ,ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
1,"оПН ОПХИМЪРРЪ Б ЙНЛСМЮКЭМС БКЮЯМЁЯРЭ ЛЁЯРЮ ГНБМЁЬМЁУ ЛЕПЕФ ЦЮГНОНЯРЮВЮММЪ ОН БСК. йМЪГЁБ йНПЁЮРНБХВЁБ, 14 ╚Л╩, ЪЙЁ МЮКЕФЮРЭ рГнб ╚тЁПЛЮ дХМЮЯРЁЪ╩.", гю, опнрх, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, опнрх, опнрх, гю, опнрх, гю, гю, гю, гю, опнрх, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
2,"оПН ОЕПЕДЮВС ГНБМЁЬМЁУ ЛЕПЕФ ЦЮГНОНЯРЮВЮММЪ ОН БСК. йМЪГЁБ йНПЁЮРНБХВЁБ, 14 ╚Л╩ МЮ АЮКЮМЯ Б ЙНЛСМЮКЭМС ВЮЯРЙС оюр ╚уЛЕКЭМХЖЭЙЦЮГ╩.", ме цнкнясбюб, опнрх, ме цнкнясбюб, гю, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб,п╡ьеммъ ме опхимърн
3,"оПН ОЕПЕДЮВС ГНБМЁЬМЁУ ЛЕПЕФ ЦЮГНОНЯРЮВЮММЪ ОН БСК. йМЪГЁБ йНПЁЮРНБХВЁБ, 14 ╚Л╩ МЮ АЮКЮМЯ Б ЙНЛСМЮКЭМС ВЮЯРЙС оюр ╚уЛЕКЭМХЖЭЙЦЮГ╩.", гю, опнрх, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, опнрх, опнрх, гю, опнрх, гю, гю, гю, гю, опнрх, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
4,"оПН БГЪРРЪ МЮ АЮКЮМЯ дЕОЮПРЮЛЕМРНЛ ЕЙНМНЛЁЙХ РЮ ПНГБХРЙС ЁМТПЮЯРПСЙРСПХ ЛЁЯРЮ ДНДЮРЙНБНЦН РПЮМЯТНПЛЮРНПЮ ЕКЕЙРПНОЁДЯРЮМЖЁ© йроц-250 ОН БСК. ╡БЮМЮ тПЮМЙЮ, 7/1.", гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
5,оПН ГАЁКЭЬЕММЪ ЯРЮРСРМНЦН ЙЮОЁРЮКС йо ╚лЁЯЭЙРЕОКНБНДЕМЕПЦЁЪ╩., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб,п╡ьеммъ опхимърн
6,оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ 3 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ VII ЯЙКХЙЮММЪ БЁД 16.12.2015 ╧═ 8/3 ╚оПН ГЮРБЕПДФЕММЪ ЯЙКЮДС ЙНМЙСПЯМН© ЙНЛЁЯЁ© Г МЮДЮММЪ Б НПЕМДС ЛЮИМЮ ЙНЛСМЮКЭМН© БКЮЯМНЯРЁ РЕПХРНПЁЮКЭМН© ЦПНЛЮДХ Л. йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩., гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
7,оПН МЮДЮММЪ ГЦНДХ СОПЮБКЁММЧ НУНПНМХ ГДНПНБ▓Ъ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙН© ЛЁЯЭЙН© ПЮДХ МЮ ЯОХЯЮММЪ РПЮМЯОНПРМНЦН ГЮЯНАС., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
8,оПН ГЮРБЕПДФЕММЪ оНКНФЕММЪ ОПН БЁДДЁК БЕДЕММЪ дЕПФЮБМНЦН ПЕ╨ЯРПС БХАНПЖЁБ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙН© ЛЁЯЭЙН© ПЮДХ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
9,"оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 2 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 25.11.2015 ╧ 7/2 ╚оПН ГЮРБЕПДФЕММЪ ОЕПЬНЦН ГЮЯРСОМХЙЮ ЛЁЯЭЙНЦН ЦНКНБХ, ГЮЯРСОМХЙЁБ ЛЁЯЭЙНЦН ЦНКНБХ Г ОХРЮМЭ ДЁЪКЭМНЯРЁ БХЙНМЮБВХУ НПЦЮМЁБ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙН© ЛЁЯЭЙН© ПЮДХ V╡╡ ЯЙКХЙЮММЪ РЮ ЙЕПСЧВНЦН ЯОПЮБЮЛХ БХЙНМЮБВНЦН ЙНЛЁРЕРС╩.", ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
10,оПН БМЕЯЕММЪ ГЛЁМ ДН пЕЦКЮЛЕМРС йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙН© ЛЁЯЭЙН© ПЮДХ V╡╡ ЯЙКХЙЮММЪ., гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
