id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цНПДЁИВСЙ бЮКЕПЁИ цПХЦНПНБХВ, цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ, цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ, дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ, дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ, мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНКЮРЮИЙН нКЕЙЯЮМДП лХЙНКЮИНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
1,оПН ГЮРБЕПДФЕММЪ ЛЕПЕФЁ йЮЛ'ЪМЕЖЭ-оНДЁКЭЯЭЙН© ЛЁЯЭЙН© ЖЕМРПЮКЁГНБЮМН© АЁАКЁНРЕВМН© ЯХЯРЕЛХ Б МНБЁИ ПЕДЮЙЖЁ©., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
2,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 86 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ VI ЯЙКХЙЮММЪ БЁД 30.06.2015 ╧═6/86 ╚оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 55 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ VI ЯЙКХЙЮММЪ БЁД 21.01.2014 ╧ 13/55 ╚оПН ГЮРБЕПДФЕММЪ ОЕПЕКЁЙС ГЮЙКЮДЁБ ЙСКЭРСПХ АЮГНБН© ЛЕПЕФЁ ЛЁЯРЮ йЮЛ'ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
3,оПН ГЮРБЕПДФЕММЪ ОЕПЕДЮБЮКЭМНЦН ЮЙРЮ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙН© ЛЁЯЭЙН© ЯРНЛЮРНКНЦЁВМН© ОНКЁЙКЁМЁЙХ., гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
4,оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ 4 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ V╡╡ ЯЙКХЙЮММЪ БЁД 23.12.2015 ╧ 8/4., гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
5,оПН МЮДЮММЪ ДНГБНКС ййо ╚цНЯОНДЮП╩ МЮ ЯОХЯЮММЪ РПЮМЯОНПРМНЦН ГЮЯНАС (ЮБРНЛНАЁКЭ пют-22031)., гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, српхлюбяъ,п╡ьеммъ опхимърн
6,"оПН МЮДЮММЪ ДНГБНКС йо ╚яОЕЖЙНЛСМРПЮМЯ╩ МЮ ЯОХЯЮММЪ РПЮМЯОНПРМХУ ГЮЯНАЁБ (ЮБРНЛНАЁКЭ бюг-2121, АСКЭДНГЕП р-170).", гю, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
7,"оПН МЮДЮММЪ ДНГБНКС йо ╚яОЕЖЙНЛСМРПЮМЯ╩ МЮ ЯОХЯЮММЪ РПЮМЯОНПРМХУ ГЮЯНАЁБ (ЮБРНЛНАЁКЭ бюг-2121, АСКЭДНГЕП р-170).", гю, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
8,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 32 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 27.09.2012 ╧═17 ╚оПН ГЮРБЕПДФЕММЪ оНКНФЕММЪ ОПН БЁДДЁК Г НАЯКСЦНБСБЮММЪ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙН© ЛЁЯЭЙН© ПЮДХ╩., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
9,"гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 1,2", гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю,п╡ьеммъ опхимърн
10,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 3, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
