id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цНПДЁИВСЙ бЮКЕПЁИ цПХЦНПНБХВ, цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ, цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ, дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ, дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ, фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, йНЯРЧЙНБХВ дЛХРПН йЮПКНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ, мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНКЮРЮИЙН нКЕЙЯЮМДП лХЙНКЮИНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яЁЛЮЬЙЕБХВ лХУЮИКН ╙БЯРЮТЁИНБХВ, яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ, яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ, жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
1,оПН БХЙНМЮММЪ ПЁЬЕММЪ 13 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 31.05.2016 ╧ 1/13 ╚оПН ОЁДЦНРНБЙС ЛЁЯЭЙНЦН ЦНЯОНДЮПЯРБЮ ДН ПНАНРХ Б НЯЁММЭН-ГХЛНБХИ ОЕПЁНД 2016-2017 ПНЙЁБ╩., гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
2,дНПСВЕММЪ ОПН ГБЁР ГЮЯРСОМХЙЁБ ЛЁЯЭЙНЦН ЦНКНБХ , гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
3,оПН ГЮРБЕПДФЕММЪ йНЛОКЕЙЯМН© ОПНЦПЮЛХ ЛНАЁКЁГЮЖЁ© ГСЯХКЭ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙН© ЛЁЯЭЙН© ПЮДХ РЮ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙН© НА▓╨ДМЮМН© ДЕПФЮБМН© ОНДЮРЙНБН© ЁМЯОЕЙЖЁ© цНКНБМНЦН СОПЮБКЁММЪ дтя С уЛЕКЭМХЖЭЙЁИ НАКЮЯРЁ ОН ГЮАЕГОЕВЕММЧ МЮДУНДФЕМЭ ДН АЧДФЕРЁБ СЯЁУ ПЁБМЁБ МЮ 2016-2018 ПНЙХ., гю, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
4,оПН ГЮРБЕПДФЕММЪ НОЕПЮРНПЁБ ОЮПЙСБЮММЪ РПЮМЯОНПРМХУ ГЮЯНАЁБ МЮ РЕПХРНПЁ© ЛЁЯРЮ., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
5,оПН ГЮРБЕПДФЕММЪ НОЕПЮРНПЁБ ОЮПЙСБЮММЪ РПЮМЯОНПРМХУ ГЮЯНАЁБ МЮ РЕПХРНПЁ© ЛЁЯРЮ., гю, гю, гю, гю, гю, гю,б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
6,оПН БЯРЮМНБКЕММЪ ОЁКЭЦНБН© НПЕМДМН© ОКЮРХ НПЕМДЮПЧ МЕФХРКНБНЦН ОПХЛЁЫЕММЪ ЙНЛСМЮКЭМН© БКЮЯМНЯРЁ ЛЁЯРЮ., гю, гю, гю, гю, гю, гю,б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
7,оПН БЯРЮМНБКЕММЪ ОЁКЭЦНБН© НПЕМДМН© ОКЮРХ НПЕМДЮПЧ МЕФХРКНБНЦН ОПХЛЁЫЕММЪ ЙНЛСМЮКЭМН© БКЮЯМНЯРЁ ЛЁЯРЮ., гю, гю, ме цнкнясбюб, гю, гю, гю,б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
8,оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ 4 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ V╡╡ ЯЙКХЙЮММЪ БЁД 23.12.2015  ╧ 8/4., гю, српхлюбяъ, гю, гю, српхлюбяъ, гю,б╡дясрм╡и, ме цнкнясбюб, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
9,"оПН ОНЦНДФЕММЪ ОЕПЕДЮВЁ Б НПЕМДС МЕФХРКНБН© АСДЁБКЁ ЙНЛСМЮКЭМН© БКЮЯМНЯРЁ ГЮ ЮДПЕЯНЧ БСК. рЮРЮПЯЭЙЮ,═10.", гю, српхлюбяъ, српхлюбяъ, гю, гю, гю,б╡дясрм╡и, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
10,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 8 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.02.2016 ╧ 5/8., гю, српхлюбяъ, српхлюбяъ, гю, гю, гю,б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
