id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цНПДЁИВСЙ бЮКЕПЁИ цПХЦНПНБХВ, фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, йНЯРЧЙНБХВ дЛХРПН йЮПКНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лХЙСКЪЙ ╡БЮМ лХУЮИКНБХВ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яЁЛЮЬЙЕБХВ лХУЮИКН ╙БЯРЮТЁИНБХВ, яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ, жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
1,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ╚оНБНДФЕММЪ Г РБЕПДХЛХ ОНАСРНБХЛХ БЁДУНДЮЛХ МЮ РЕПХРНПЁ© ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН МЮ 2017 √ 2027 ПНЙХ╩., гю, гю, гю, гю, гю, гю, ме цнкнясбюб,б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
2,оПН ГЛЁМС фай ╚лНКНДЁФМХИ уу╡╩ ПНГЛЁПС ОЮИНБН© СВЮЯРЁ С ЯРБНПЕММЁ Ё ПНГБХРЙС ЁМФЕМЕПМН-РПЮМЯОНПРМН© РЮ ЯНЖЁЮКЭМН© ЁМТПЮЯРПСЙРСПХ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН., гю, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб,б╡дясрм╡и, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, опнрх, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
3,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС., гю, гю, гю, гю, гю, гю, гю,б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
4,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС.: ОСМЙР 1., гю, гю, гю, гю, гю, гю, гю,б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
5,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС: ОСМЙР 2., ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб,б╡дясрм╡и, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
6,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС., гю, гю, гю, гю, гю, гю, гю,б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
7,"оПНЕЙР ╧ 6. оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ ВЕРБЕПРН© (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.12.2015 ╧ 10/4.
оПНЕЙР ╧ 7. оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 7/17.
оПНЕЙР ╧ 8. оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 8/17.
оПНЕЙР ╧ 6. оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ ВЕРБЕПРН© (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.12.2015 ╧ 10/4.
оПНЕЙР ╧ 7. оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 7/17.
оПНЕЙР ╧ 8. оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 8/17.
оПНЕЙР ╧ 6. оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ ВЕРБЕПРН© (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.12.2015 ╧ 10/4.
оПНЕЙР ╧ 7. оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 7/17.
оПНЕЙР ╧ 8. оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 8/17.
оПНЕЙР ╧ 6. оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ ВЕРБЕПРН© (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.12.2015 ╧ 10/4.
оПНЕЙР ╧ 7. оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 7/17.
оПНЕЙР ╧ 8. оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 8/17.
оПНЕЙР ╧ 6. оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ ВЕРБЕПРН© (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.12.2015 ╧ 10/4.
оПНЕЙР ╧ 7. оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 7/17.
оПНЕЙР ╧ 8. оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 8/17.
оПНЕЙР ╧ 6. оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ ВЕРБЕПРН© (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.12.2015 ╧ 10/4.
оПНЕЙР ╧ 7. оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 7/17.
оПНЕЙР ╧ 8. оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 8/17.
оПНЕЙР ╧ 6. оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ ВЕРБЕПРН© (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.12.2015 ╧ 10/4.
оПНЕЙР ╧ 7. оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 7/17.
оПНЕЙР ╧ 8. оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 8/17.
оПНЕЙР ╧ 6. оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ ВЕРБЕПРН© (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.12.2015 ╧ 10/4.
оПНЕЙР ╧ 7. оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 7/17.
оПНЕЙР ╧ 8. оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 8/17.
", гю, гю, гю, гю, гю, гю, гю,б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
8,оПН БХДЁКЕММЪ ЙНЬРЁБ Г ЛЁЯЭЙНЦН АЧДФЕРС МЮ ГАЁКЭЬЕММЪ ЯРЮРСРМНЦН ЙЮОЁРЮКС йо═╚лЁЯЭЙРЕОКНБНДЕМЕПЦЁЪ╩., гю, гю, гю, гю, гю, гю, гю,б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
9,оПН БХДЁКЕММЪ ЙНЬРЁБ Г ЛЁЯЭЙНЦН АЧДФЕРС МЮ ГАЁКЭЬЕММЪ ЯРЮРСРМНЦН ЙЮОЁРЮКС йо═╚лЁЯЭЙРЕОКНБНДЕМЕПЦЁЪ╩., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
10,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 14 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 05.07.2016  ╧ 11/14., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
