id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цНПДЁИВСЙ бЮКЕПЁИ цПХЦНПНБХВ, цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ, цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ, дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ, дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ, фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, йНЯРЧЙНБХВ дЛХРПН йЮПКНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ, лХЙСКЪЙ ╡БЮМ лХУЮИКНБХВ, мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яЁЛЮЬЙЕБХВ лХУЮИКН ╙БЯРЮТЁИНБХВ, яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ, яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
1,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ЯНЖЁЮКЭМН-ЕЙНМНЛЁВМНЦН РЮ ЙСКЭРСПМНЦН ПНГБХРЙС Л.═йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН МЮ 2017 ПЁЙ., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
2,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ЯНЖЁЮКЭМН-ЕЙНМНЛЁВМНЦН РЮ ЙСКЭРСПМНЦН ПНГБХРЙС Л.═йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН МЮ 2017 ПЁЙ., гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
3,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ПНГБХРЙС ЛЮКНЦН РЮ ЯЕПЕДМЭНЦН ОЁДОПХ╨ЛМХЖРБЮ Б Л.═йЮЛ▓ЪМЖЁ-оНДЁКЭЯЭЙНЛС МЮ 2017-2018 ПНЙХ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю,п╡ьеммъ опхимърн
4,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ОПХБЮРХГЮЖЁ© ЛЮИМЮ ЙНЛСМЮКЭМН© БКЮЯМНЯРЁ РЕПХРНПЁЮКЭМН© ЦПНЛЮДХ ЛЁЯРЮ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙХИ МЮ 2017 ПЁЙ., гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
5,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ╚гЮАЕГОЕВЕММЪ ОЁДРПХЛЙХ до ╚рЕОКНБНДЮ╩ ДКЪ НОЕПЮРХБМН© КЁЙБЁДЮЖЁ© ЮБЮПЁИМХУ ЯХРСЮЖЁИ МЮ БМСРПЁЬМЭНАСДХМЙНБХУ ЛЕПЕФЮУ ФХРКНБНЦН ТНМДС Б ЛЁЯРЁ йЮЛ▓ЪМЖЁ-оНДЁКЭЯЭЙНЛС МЮ 2017 ПЁЙ╩., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
6,оПН ГЮРБЕПДФЕММЪ ОКЮМС ДЁЪКЭМНЯРЁ ЛЁЯЭЙН© ПЮДХ Г ОЁДЦНРНБЙХ ОПНЕЙРЁБ ПЕЦСКЪРНПМХУ ЮЙРЁБ МЮ 2017 ПЁЙ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
7,оПН ГЮРБЕПДФЕММЪ ОКЮМС ДЁЪКЭМНЯРЁ ЛЁЯЭЙН© ПЮДХ Г ОЁДЦНРНБЙХ ОПНЕЙРЁБ ПЕЦСКЪРНПМХУ ЮЙРЁБ МЮ 2017 ПЁЙ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
8,оПН БЯРЮМНБКЕММЪ ОЁКЭЦНБН© НПЕМДМН© ОКЮРХ НПЕМДЮПЧ МЕФХРКНБНЦН ОПХЛЁЫЕММЪ ЙНЛСМЮКЭМН© БКЮЯМНЯРЁ ЛЁЯРЮ., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
9,"оПН ОПХИМЪРРЪ Б ЙНЛСМЮКЭМС БКЮЯМЁЯРЭ ЛЁЯРЮ  ГНБМЁЬМЁУ ЛЕПЕФ БНДНОНЯРЮВЮММЪ РЮ БНДНБЁДБЕДЕММЪ ГАСДНБЮМХУ оо ╚бЁБЮР юЦПН╩, ЫН ГМЮУНДЪРЭЯЪ ГЮ ЮДПЕЯНЧ: БСК.═вЕУНБЮ,═45 Б.", гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
10,"оПН ОЕПЕДЮВС Б ЯРЮРСРМХИ ЙЮОЁРЮК йо═╚лЁЯЭЙРЕОКНБНДЕМЕПЦЁЪ╩═ГНБМЁЬМЁУ ЛЕПЕФ БНДНОНЯРЮВЮММЪ РЮ БНДНБЁДБЕДЕММЪ, ЫН ГМЮУНДЪРЭЯЪ ГЮ ЮДПЕЯНЧ БСК. вЕУНБЮ, 45 Б.", гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
