id,FullAskText, Бабчинський Олександр Васильович, Бенкендорф Геннадій Данилович, Бойко Андрій Анатолійович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гамалій Андрій Вячеславович, Гордійчук Валерій Григорович, Гурома Анатолій Степанович, Гурома Степан Анатолійович, Дюднєв Андрій Михайлович, Дюднєв Артем Михайлович, Жильчук Олександр Борисович, Качуровський Анатолій Іванович, Кобильник Василь Володимирович, Конюшенко Андрій Олександрович, Костинюк Володимир Володимирович, Костюкович Дмитро Карлович, Мазій Олена Миколаївна, Мастикаш Андрій Ігорович, Микуляк Іван Михайлович, Невенчан Геннадій Володимирович, Пливанюк Юрій Васильович, Посітко Михайло Володимирович, Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович, Старченко Світлана Володимирівна, Ткач Олег Васильович, Цвігун Борис Ярославович, Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович, Шуханов Микола Макарович,result
1,"Про внесення змін та доповнень до рішення 4 (позачергової) сесії міської ради від 23.12.2015 № 29/4 «Про міський бюджет на 2016 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 5 (позачергової) сесії міської ради від 13.01.2016 № 2/5, рішенням 6 сесії міської ради від 26.01.2016 № 112/6, рішенням 7 (позачергової) сесії міської ради від 09.02.2016 № 1/7, рішенням 8 сесії міської ради від 23.02.2016 № 4/8, рішенням 9 (позачергової) сесії міської ради від 29.02.2016 № 1/9, рішенням 10 сесії міської ради від 29.03.2016 № 328/10, рішенням 12 (позачергової) сесії міської ради від 28.04.2016 № 4/12, рішенням 13 сесії міської ради від 31.05.2016 № 19/13, рішенням 14 сесії міської ради від 05.07.2016 № 182/14, рішенням 15 (позачергової) сесії міської ради від 12.07.2016 № 16/15, рішенням 16 сесії міської ради від 09.08.2016 № 167/16, рішенням 17 сесії міської ради від 14.09.2016 № 131/17, рішенням 18 (позачергової) сесії міської ради від 11.10.2016 № 5/18, рішенням 19 сесії міської ради від 18.10.2016 № 114/19, рішенням 20 (позачергової) сесії міської ради від 03.11.2016 № 1/20, рішенням 21 сесії міської ради від 15.11.2016 № 14/21, рішенням 22 (позачергової) сесії міської ради 13.12.2016 № 9/22.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
2,"Про внесення змін та доповнень до рішення 4 (позачергової) сесії міської ради від 23.12.2015 № 29/4 «Про міський бюджет на 2016 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 5 (позачергової) сесії міської ради від 13.01.2016 № 2/5, рішенням 6 сесії міської ради від 26.01.2016 № 112/6, рішенням 7 (позачергової) сесії міської ради від 09.02.2016 № 1/7, рішенням 8 сесії міської ради від 23.02.2016 № 4/8, рішенням 9 (позачергової) сесії міської ради від 29.02.2016 № 1/9, рішенням 10 сесії міської ради від 29.03.2016 № 328/10, рішенням 12 (позачергової) сесії міської ради від 28.04.2016 № 4/12, рішенням 13 сесії міської ради від 31.05.2016 № 19/13, рішенням 14 сесії міської ради від 05.07.2016 № 182/14, рішенням 15 (позачергової) сесії міської ради від 12.07.2016 № 16/15, рішенням 16 сесії міської ради від 09.08.2016 № 167/16, рішенням 17 сесії міської ради від 14.09.2016 № 131/17, рішенням 18 (позачергової) сесії міської ради від 11.10.2016 № 5/18, рішенням 19 сесії міської ради від 18.10.2016 № 114/19, рішенням 20 (позачергової) сесії міської ради від 03.11.2016 № 1/20, рішенням 21 сесії міської ради від 15.11.2016 № 14/21, рішенням 22 (позачергової) сесії міської ради 13.12.2016 № 9/22.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
3,Про внесення змін та доповнень до рішення вісімдесят шостої сесії міської ради від 30.06.2015 № 2/86 «Про затвердження Положень про місцеві податки і збори у м. Кам’янці-Подільському., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
4,Про міський бюджет на 2017 рік., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
5,Про міський бюджет на 2017 рік., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
6,Про міський бюджет на 2017 рік., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
7,Про міський бюджет на 2017 рік., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
8,Про міський бюджет на 2017 рік., НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
9,Про міський бюджет на 2017 рік., НЕ ГОЛОСУВАВ, ЗА, ПРОТИ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
10,Про міський бюджет на 2017 рік., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
