,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,FullAskText, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цНПДЁИВСЙ бЮКЕПЁИ цПХЦНПНБХВ, цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ, цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ, дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ, дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ, фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, йНЯРЧЙНБХВ дЛХРПН йЮПКНБХВ, лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ, лХЙСКЪЙ ╡БЮМ лХУЮИКНБХВ, мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНКЮРЮИЙН нКЕЙЯЮМДП лХЙНКЮИНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яЁЛЮЬЙЕБХВ лХУЮИКН ╙БЯРЮТЁИНБХВ, яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ, яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ, жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ,result
1,оПН БХЙНМЮММЪ ОКЮМС ПНАНРХ ЛЁЯЭЙН© ПЮДХ С ╡╡═ОЁБПЁВВЁ 2016 ПНЙС РЮ ГЮРБЕПДФЕММЪ ОКЮМС ПНАНРХ ЛЁЯЭЙН© ПЮДХ МЮ ╡═ОЁБПЁВВЪ 2017 ПНЙС., српхлюбяъ, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю,б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, гю, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
2,оПН ГЮРБЕПДФЕММЪ ГБЁРС ОПН ПЕЮКЁГЮЖЁЧ яРПЮРЕЦЁ© ПНГБХРЙС ЦЮКСГЁ ЙСКЭРСПХ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН ДН 2020 ПНЙС ╚йСКЭРСПМЮ ЯРНКХЖЪ оНДЁККЪ╩ С 2016 ПНЖЁ., српхлюбяъ, гю, гю, гю, гю, гю, гю,б╡дясрм╡и, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
3,оПН ГЮРБЕПДФЕММЪ ГБЁРС ОПН БХЙНМЮММЪ ╚оПНЦПЮЛХ ПНГБХРЙС ЛНКНДЁФМН© ОНКЁРХЙХ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН ДН 2020 ПНЙС ╚лНКНДЭ ЛЁЯРЮ╩ ГЮ 2016 ПЁЙ., српхлюбяъ, гю, гю, гю, гю, гю, гю,б╡дясрм╡и, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
4,оПН ГЮРБЕПДФЕММЪ ГБЁРС ОПН БХЙНМЮММЪ ╚оПНЦПЮЛХ ПНГБХРЙС ТЁГХВМН© ЙСКЭРСПХ Ё ЯОНПРС Б ЛЁЯРЁ МЮ 2012-2016 ПНЙХ╩ ГЮ 2016 ПЁЙ., српхлюбяъ, гю, гю, гю, гю, гю, гю,б╡дясрм╡и, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
5,оПН ГЮРБЕПДФЕММЪ ГБЁРС ОПН БХЙНМЮММЪ оПНЦПЮЛХ ╚оНОСКЪПХГЮЖЁЪ РСПХЯРХВМНЦН ОНРЕМЖЁЮКС ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН МЮ 2016-2020 ПНЙХ╩ С МНБЁИ ПЕДЮЙЖЁ©╩ С 2016 ПНЖЁ., српхлюбяъ, гю, гю, гю, гю, гю, гю,б╡дясрм╡и, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
6,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ОЁДЦНРНБЙХ Ё ОПНБЕДЕММЪ ЙСКЭРСПМН-ЛХЯРЕЖЭЙХУ ЛЮЯНБХУ ГЮУНДЁБ Б Л.═йЮЛ'ЪМЖЁ-оНДЁКЭЯЭЙНЛС МЮ 2017 ПЁЙ., гю, гю, гю, гю, гю, гю, гю,б╡дясрм╡и, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
7,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ОЁДЦНРНБЙХ Ё ОПНБЕДЕММЪ ЙСКЭРСПМН-ЛХЯРЕЖЭЙХУ ЛЮЯНБХУ ГЮУНДЁБ Б Л.═йЮЛ'ЪМЖЁ-оНДЁКЭЯЭЙНЛС МЮ 2017 ПЁЙ., гю, гю, гю, гю, гю, гю, гю,б╡дясрм╡и, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
8,оПН ГЮРБЕПДФЕММЪ оНКНФЕММЪ ОПН БХОКЮРС ЯРХОЕМДЁИ РЮ ЦПНЬНБХУ БХМЮЦНПНД ЯОНПРЯЛЕМЮЛ ГЮ БХЯНЙЁ ЯОНПРХБМЁ ДНЯЪЦМЕММЪ., гю, гю, гю, гю, гю, ме цнкнясбюб, гю,б╡дясрм╡и, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
9,оПН ГЮРБЕПДФЕММЪ оНКНФЕММЪ ОПН БХОКЮРС ЯРХОЕМДЁИ РЮ ЦПНЬНБХУ БХМЮЦНПНД ЯОНПРЯЛЕМЮЛ ГЮ БХЯНЙЁ ЯОНПРХБМЁ ДНЯЪЦМЕММЪ., гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
10,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС., гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, опнрх, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю,п╡ьеммъ опхимърн
