id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ, цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ, дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ, дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ, фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ, лХЙСКЪЙ ╡БЮМ лХУЮИКНБХВ, мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНКЮРЮИЙН нКЕЙЯЮМДП лХЙНКЮИНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ, яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ, жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
1,гБЁР ОПН БХЙНМЮММЪ оПНЦПЮЛХ ЯНЖЁЮКЭМН-ЕЙНМНЛЁВМНЦН РЮ ЙСКЭРСПМНЦН ПНГБХРЙС Л.═ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН ГЮ 2016 ПЁЙ., гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
2,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ГЮКСВЕММЪ ЁМБЕЯРХЖЁИ Б ЕЙНМНЛЁЙС Л. йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН МЮ 2017-2020 ПНЙХ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
3,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 23 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 20.12.2016 ╧ 1/23., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
4,оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ ДБЮДЖЪРЭ РПЕРЭН© ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 20.12.2016  ╧═ 5/23., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
5,оПН БМЕЯЕММЪ ГЛЁМ РЮ ДНОНБМЕМЭ ДН ПЁЬЕММЪ 23 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ V╡╡ ЯЙКХЙЮММЪ БЁД 20.12.2016 ╧ 3/23., српхлюбяъ, гю, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
6,оПН БМЕЯЕММЪ ГЛЁМ РЮ ДНОНБМЕМЭ ДН ПЁЬЕММЪ 23 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ V╡╡ ЯЙКХЙЮММЪ БЁД 20.12.2016 ╧ 3/23., гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
7,"оПН ОЕПЕДЮВС ЛЮИМЮ Г ЯОЁКЭМН© БКЮЯМНЯРЁ РЕПХРНПЁЮКЭМХУ ЦПНЛЮД ЯЁК, ЯЕКХЫ, ЛЁЯР уЛЕКЭМХЖЭЙН© НАКЮЯРЁ С БКЮЯМЁЯРЭ РЕПХРНПЁЮКЭМН© ЦПНЛЮДХ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН.", гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
8,оПН ЯРБНПЕММЪ ЙНЛЁЯЁ© Г ОПХИНЛС √ ОЕПЕДЮВЁ ДН ДЕПФЮБМН© БКЮЯМНЯРЁ ОНФЕФМНЦН ЮБРНЛНАЁКЪ ОЕПЬН© ДНОНЛНЦХ юод (33023)-01 ╚дЕКЭТЁМ╩ МЮ АЮГЁ цюг-33023., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
9,оПН БЯРЮМНБКЕММЪ ОЁКЭЦНБН© НПЕМДМН© ОКЮРХ НПЕМДЮПЪЛ МЕФХРКНБХУ ОПХЛЁЫЕМЭ ЙНЛСМЮКЭМН© БКЮЯМНЯРЁ ЛЁЯРЮ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
10,гБЁР йо ╚йНЛАЁМЮР АКЮЦНСЯРПНЧ╩ ОПН ТЁМЮМЯНБН-ЦНЯОНДЮПЯЭЙС ДЁЪКЭМЁЯРЭ С 2016 ПНЖЁ., гю, српхлюбяъ, гю, гю, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, б╡дясрм╡и, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, српхлюбяъ,п╡ьеммъ опхимърн
