id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Бойко Андрій Анатолійович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гамалій Андрій Вячеславович,Гурома Анатолій Степанович,Гурома Степан Анатолійович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Жильчук Олександр Борисович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович,Костинюк Володимир Володимирович,Костюкович Дмитро Карлович,Мастикаш Андрій Ігорович,Микуляк Іван Михайлович,Наглюк Юлія Вікторівна,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Посітко Михайло Володимирович,Розбам Микола Нюсевич,Савчук Наталія Федорівна,Сімашкевич Михайло Євстафійович,Слободян Валерій Анатолійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
1,"Внески в статутний капітал КП ""Міськтепловоденергія""", ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
2,"Внески в статуний капітал КП ""Міськтепловоденергія""", ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
3,"Внески в статуний капітал КП ""Міськтепловоденергія""", УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
4,"Внески в статуний капітал КП ""Міськтепловоденергія""", ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
5,"Про внесення змін та доповнень до рішення 24 (позачергової) сесії міської ради від 23.12.2016 №  3/24 «Про міський бюджет на 2017 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 25 сесії міської ради від 31.01.2017 № 12/25, рішенням 26  (позачергової) сесії міської ради від 14.02.2017 №  5/26, рішенням 29  (позачергової) сесії міської ради від 15.03.2017 №  1/29, рішенням 30 сесії міської ради від 28.03.2017 № 101/30, рішенням 31 (позачергової) сесії міської ради від 07.04.2017 № 2/31, рішенням 32 сесії міської ради від 26.04.2017 № 25/32, рішенням 33 (позачергової) сесії міської ради від 28.04.2017 №  4/33, рішенням 34 (позачергової) сесії міської ради від 16.05.2017 № 2/34.", ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
6,"Про внесення змін та доповнень до рішення 24 (позачергової) сесії міської ради від 23.12.2016 №  3/24 «Про міський бюджет на 2017 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 25 сесії міської ради від 31.01.2017 № 12/25, рішенням 26  (позачергової) сесії міської ради від 14.02.2017 №  5/26, рішенням 29  (позачергової) сесії міської ради від 15.03.2017 №  1/29, рішенням 30 сесії міської ради від 28.03.2017 № 101/30, рішенням 31 (позачергової) сесії міської ради від 07.04.2017 № 2/31, рішенням 32 сесії міської ради від 26.04.2017 № 25/32, рішенням 33 (позачергової) сесії міської ради від 28.04.2017 №  4/33, рішенням 34 (позачергової) сесії міської ради від 16.05.2017 № 2/34.", ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
7,"Про внесення змін та доповнень до рішення 24 (позачергової) сесії міської ради від 23.12.2016 №  3/24 «Про міський бюджет на 2017 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 25 сесії міської ради від 31.01.2017 № 12/25, рішенням 26  (позачергової) сесії міської ради від 14.02.2017 №  5/26, рішенням 29  (позачергової) сесії міської ради від 15.03.2017 №  1/29, рішенням 30 сесії міської ради від 28.03.2017 № 101/30, рішенням 31 (позачергової) сесії міської ради від 07.04.2017 № 2/31, рішенням 32 сесії міської ради від 26.04.2017 № 25/32, рішенням 33 (позачергової) сесії міської ради від 28.04.2017 №  4/33, рішенням 34 (позачергової) сесії міської ради від 16.05.2017 № 2/34.", УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
8,"Про внесення змін та доповнень до рішення 24 (позачергової) сесії міської ради від 23.12.2016 №  3/24 «Про міський бюджет на 2017 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 25 сесії міської ради від 31.01.2017 № 12/25, рішенням 26  (позачергової) сесії міської ради від 14.02.2017 №  5/26, рішенням 29  (позачергової) сесії міської ради від 15.03.2017 №  1/29, рішенням 30 сесії міської ради від 28.03.2017 № 101/30, рішенням 31 (позачергової) сесії міської ради від 07.04.2017 № 2/31, рішенням 32 сесії міської ради від 26.04.2017 № 25/32, рішенням 33 (позачергової) сесії міської ради від 28.04.2017 №  4/33, рішенням 34 (позачергової) сесії міської ради від 16.05.2017 № 2/34.", ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
9,Про делегування для роботи у складі Госпітальної ради Кам’янець-Подільського госпітального округу Хмельницької області представників міста Кам’янця-Подільського., ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
10,Про делегування для роботи у складі Госпітальної ради Кам’янець-Подільського госпітального округу Хмельницької області представників міста Кам’янця-Подільського., ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
