id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Бойко Андрій Анатолійович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гамалій Андрій Вячеславович,Гордійчук Валерій Григорович,Гурома Анатолій Степанович,Гурома Степан Анатолійович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Жильчук Олександр Борисович,Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович,Костинюк Володимир Володимирович,Костюкович Дмитро Карлович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Микуляк Іван Михайлович,Наглюк Юлія Вікторівна,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Полатайко Олександр Миколайович,Посітко Михайло Володимирович,Розбам Микола Нюсевич,Савчук Наталія Федорівна,Сімашкевич Михайло Євстафійович,Слободян Валерій Анатолійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
1,Про виконання плану роботи міської ради у І  півріччі 2017 року та затвердження плану роботи міської ради на ІІ  півріччя 2017 року, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
2,Про виконання плану роботи міської ради у І  півріччі 2017 року та затвердження плану роботи міської ради на ІІ  півріччя 2017 року, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
3,Про виконання плану роботи міської ради у І  півріччі 2017 року та затвердження плану роботи міської ради на ІІ  півріччя 2017 року, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
4,Про виконання плану роботи міської ради у І  півріччі 2017 року та затвердження плану роботи міської ради на ІІ  півріччя 2017 року, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ПРОТИ, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
5,Про виконання плану роботи міської ради у І  півріччі 2017 року та затвердження плану роботи міської ради на ІІ  півріччя 2017 року, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
6,"Звіт про роботу постійної комісії міської ради з питань освіти, культури, туризму, молоді та спорту за 2016 рік", ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
7,Про затвердження програми розвитку молодіжної політики міста Кам’янця-Подільського до 2020 року «Молодь міста» в новій редакції, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
8,Про затвердження програми розвитку молодіжної політики міста Кам’янця-Подільського до 2020 року «Молодь міста» в новій редакції, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
9,Про затвердження Положення про виплату одноразових грошових винагород обдарованим і талановитим дітям міста за високі інтелектуальні досягнення, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
10,Про затвердження Положення про виплату одноразових грошових винагород обдарованим і талановитим дітям міста за високі інтелектуальні досягнення, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
