id,FullAskText, Бабчинський Олександр Васильович, Бенкендорф Геннадій Данилович, Бойко Андрій Анатолійович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гамалій Андрій Вячеславович, Гордійчук Валерій Григорович, Гурома Анатолій Степанович, Дюднєв Артем Михайлович, Жильчук Олександр Борисович, Качуровський Анатолій Іванович, Кобильник Василь Володимирович, Конюшенко Андрій Олександрович, Костинюк Володимир Володимирович, Мазій Олена Миколаївна, Микуляк Іван Михайлович, Наглюк Юлія Вікторівна, Невенчан Геннадій Володимирович, Пливанюк Юрій Васильович, Полатайко Олександр Миколайович, Посітко Михайло Володимирович, Розбам Микола Нюсевич, Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович, Слободян Валерій Анатолійович, Старченко Світлана Володимирівна, Ткачук Олександр Анатолійович, Цвігун Борис Ярославович, Чинчик Олександр Сергійович, Шуханов Микола Макарович,result
1,Про виділення коштів з міського бюджету на збільшення статутного капіталу КП «Кам’янець-Подільська міська друкарня»., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
2,Про виділення коштів з міського бюджету на збільшення статутного капіталу КП «Міськтепловоденергія»., ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
3,Про виділення коштів з міського бюджету на збільшення статутного капіталу КП «Міськтепловоденергія»., ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
4,Про виділення коштів з міського бюджету на збільшення статутного капіталу КП «Кам’янець-Подільська міська стоматологічна поліклініка»., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
5,Про внесення змін до рішення 23 сесії міської ради від 20.12.2016 №  30/23., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
6,"Про затвердження «Комплексної програми взаємодії військової частини А2641 та Кам'янець-Подільської міської ради, її виконавчих органів щодо захисту життя, миру і спокою українських громадян, територіальної цілісності, свободи і незалежності України на 2017 рік", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
7,"Про затвердження «Комплексної програми взаємодії військової частини А2641 та Кам'янець-Подільської міської ради, її виконавчих органів щодо захисту життя, миру і спокою українських громадян, територіальної цілісності, свободи і незалежності України на 2017 рік", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
8,Про внесення змін до рішення 26 (позачергової) сесії міської ради від 14.02.2017 №  3/26., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
9,"Про внесення змін та доповнень до рішення 24 (позачергової) сесії міської ради від 23.12.2016 № 3/24 «Про міський бюджет на 2017 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 25 сесії міської ради від 31.01.2017 № 12/25, рішенням 26 (позачергової) сесії міської ради від 14.02.2017 № 5/26, рішенням 29 (позачергової) сесії міської ради від 15.03.2017 № 1/29, рішенням 30 сесії міської ради від 28.03.2017 № 101/30, рішенням 31 (позачергової) сесії міської ради від 07.04.2017 № 2/31, рішенням 32 сесії міської ради від 26.04.2017 № 25/32, рішенням 33 (позачергової) сесії міської ради від 28.04.2017 № 4/33, рішенням 34 (позачергової) сесії міської ради від 16.05.2017 № 2/34, рішенням 36 (позачергової) сесії міської ради від 08.06.2017 № 3/36, рішенням 37 сесії міської ради від 04.07.2017 № 21/37, рішенням 38 сесії міської ради від 01.08.2017 № 19/38, рішенням 39 сесії міської ради від 05.09.2017 № 25/39.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
10,"Про внесення змін та доповнень до рішення 24 (позачергової) сесії міської ради від 23.12.2016 № 3/24 «Про міський бюджет на 2017 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 25 сесії міської ради від 31.01.2017 № 12/25, рішенням 26 (позачергової) сесії міської ради від 14.02.2017 № 5/26, рішенням 29 (позачергової) сесії міської ради від 15.03.2017 № 1/29, рішенням 30 сесії міської ради від 28.03.2017 № 101/30, рішенням 31 (позачергової) сесії міської ради від 07.04.2017 № 2/31, рішенням 32 сесії міської ради від 26.04.2017 № 25/32, рішенням 33 (позачергової) сесії міської ради від 28.04.2017 № 4/33, рішенням 34 (позачергової) сесії міської ради від 16.05.2017 № 2/34, рішенням 36 (позачергової) сесії міської ради від 08.06.2017 № 3/36, рішенням 37 сесії міської ради від 04.07.2017 № 21/37, рішенням 38 сесії міської ради від 01.08.2017 № 19/38, рішенням 39 сесії міської ради від 05.09.2017 № 25/39.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
11,"Про внесення змін та доповнень до рішення 24 (позачергової) сесії міської ради від 23.12.2016 № 3/24 «Про міський бюджет на 2017 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 25 сесії міської ради від 31.01.2017 № 12/25, рішенням 26 (позачергової) сесії міської ради від 14.02.2017 № 5/26, рішенням 29 (позачергової) сесії міської ради від 15.03.2017 № 1/29, рішенням 30 сесії міської ради від 28.03.2017 № 101/30, рішенням 31 (позачергової) сесії міської ради від 07.04.2017 № 2/31, рішенням 32 сесії міської ради від 26.04.2017 № 25/32, рішенням 33 (позачергової) сесії міської ради від 28.04.2017 № 4/33, рішенням 34 (позачергової) сесії міської ради від 16.05.2017 № 2/34, рішенням 36 (позачергової) сесії міської ради від 08.06.2017 № 3/36, рішенням 37 сесії міської ради від 04.07.2017 № 21/37, рішенням 38 сесії міської ради від 01.08.2017 № 19/38, рішенням 39 сесії міської ради від 05.09.2017 № 25/39.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
12,"Про внесення змін та доповнень до рішення 24 (позачергової) сесії міської ради від 23.12.2016 № 3/24 «Про міський бюджет на 2017 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 25 сесії міської ради від 31.01.2017 № 12/25, рішенням 26 (позачергової) сесії міської ради від 14.02.2017 № 5/26, рішенням 29 (позачергової) сесії міської ради від 15.03.2017 № 1/29, рішенням 30 сесії міської ради від 28.03.2017 № 101/30, рішенням 31 (позачергової) сесії міської ради від 07.04.2017 № 2/31, рішенням 32 сесії міської ради від 26.04.2017 № 25/32, рішенням 33 (позачергової) сесії міської ради від 28.04.2017 № 4/33, рішенням 34 (позачергової) сесії міської ради від 16.05.2017 № 2/34, рішенням 36 (позачергової) сесії міської ради від 08.06.2017 № 3/36, рішенням 37 сесії міської ради від 04.07.2017 № 21/37, рішенням 38 сесії міської ради від 01.08.2017 № 19/38, рішенням 39 сесії міської ради від 05.09.2017 № 25/39.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
13,"Про внесення змін та доповнень до рішення 24 (позачергової) сесії міської ради від 23.12.2016 № 3/24 «Про міський бюджет на 2017 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 25 сесії міської ради від 31.01.2017 № 12/25, рішенням 26 (позачергової) сесії міської ради від 14.02.2017 № 5/26, рішенням 29 (позачергової) сесії міської ради від 15.03.2017 № 1/29, рішенням 30 сесії міської ради від 28.03.2017 № 101/30, рішенням 31 (позачергової) сесії міської ради від 07.04.2017 № 2/31, рішенням 32 сесії міської ради від 26.04.2017 № 25/32, рішенням 33 (позачергової) сесії міської ради від 28.04.2017 № 4/33, рішенням 34 (позачергової) сесії міської ради від 16.05.2017 № 2/34, рішенням 36 (позачергової) сесії міської ради від 08.06.2017 № 3/36, рішенням 37 сесії міської ради від 04.07.2017 № 21/37, рішенням 38 сесії міської ради від 01.08.2017 № 19/38, рішенням 39 сесії міської ради від 05.09.2017 № 25/39.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
