id,FullAskText, Бабчинський Олександр Васильович, Бенкендорф Геннадій Данилович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гамалій Андрій Вячеславович, Гордійчук Валерій Григорович, Гурома Анатолій Степанович, Гурома Степан Анатолійович, Дюднєв Андрій Михайлович, Дюднєв Артем Михайлович, Качуровський Анатолій Іванович, Кобильник Василь Володимирович, Конюшенко Андрій Олександрович, Костинюк Володимир Володимирович, Костюкович Дмитро Карлович, Мазій Олена Миколаївна, Мастикаш Андрій Ігорович, Микуляк Іван Михайлович, Наглюк Юлія Вікторівна, Невенчан Геннадій Володимирович, Пливанюк Юрій Васильович, Посітко Михайло Володимирович, Розбам Микола Нюсевич, Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович, Слободян Валерій Анатолійович, Старченко Світлана Володимирівна, Ткач Олег Васильович, Ткачук Олександр Анатолійович, Цвігун Борис Ярославович, Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович, Шуханов Микола Макарович, Яриновський Юрій Леонідович,result
1,Про виконання плану роботи міської ради у ІІ півріччі 2017 року та затвердження плану роботи міської ради на І півріччя 2018 року., ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
2,Про виконання плану роботи міської ради у ІІ півріччі 2017 року та затвердження плану роботи міської ради на І півріччя 2018 року., ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
3,Про виконання плану роботи міської ради у ІІ півріччі 2017 року та затвердження плану роботи міської ради на І півріччя 2018 року., ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
4,Про виконання плану роботи міської ради у ІІ півріччі 2017 року та затвердження плану роботи міської ради на І півріччя 2018 року., УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
5,Про виконання плану роботи міської ради у ІІ півріччі 2017 року та затвердження плану роботи міської ради на І півріччя 2018 року., УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
6,Про виконання плану роботи міської ради у ІІ півріччі 2017 року та затвердження плану роботи міської ради на І півріччя 2018 року., ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
7,Про затвердження Програми «Капітальний ремонт мереж вуличного освітлення центральної частини міста з заміною світильників на LED м. Кам’янця-Подільського на 2018-2021 рр.»., НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
8,Про затвердження Програми «Капітальний ремонт мереж вуличного освітлення центральної частини міста з заміною світильників на LED м. Кам’янця-Подільського на 2018-2021 рр.»., НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
9,Про затвердження операторів паркування транспортних засобів на території міста., НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
10,"Про затвердження «Комплексної програми взаємодії військової частини А2641 та Кам'янець-Подільської міської ради, її виконавчих органів щодо захисту життя, миру і спокою українських громадян, територіальної цілісності, свободи і незалежності України на 2018 рік».", УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
