id,FullAskText, Бабчинський Олександр Васильович, Бенкендорф Геннадій Данилович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гурома Анатолій Степанович, Дюднєв Андрій Михайлович, Дюднєв Артем Михайлович, Жильчук Олександр Борисович, Качуровський Анатолій Іванович, Кобильник Василь Володимирович, Конюшенко Андрій Олександрович, Костинюк Володимир Володимирович, Костюкович Дмитро Карлович, Мазій Олена Миколаївна, Мастикаш Андрій Ігорович, Наглюк Юлія Вікторівна, Невенчан Геннадій Володимирович, Пливанюк Юрій Васильович, Полатайко Олександр Миколайович, Посітко Михайло Володимирович, Розбам Микола Нюсевич, Савчук Наталія Федорівна, Слободян Валерій Анатолійович, Старченко Світлана Володимирівна, Ткач Олег Васильович, Ткачук Олександр Анатолійович, Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович, Шуханов Микола Макарович, Яриновський Юрій Леонідович,result
1,Про затвердження звіту «Про виконання бюджету міста Кам’янця-Подільського за І  півріччя 2018 року», ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
2,Про надання пільг зі сплати земельного податку на 2019 рік, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
3,Про затвердження Порядку визначення та використання Громадського бюджету міста Кам’янця-Подільського, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
4,Звіт відділу контролю за дотриманням законодавства про працю за І півріччя 2018 року, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
5,"Звіт про роботу постійної комісії міської ради з питань промисловості, підприємництва, транспорту, зв’язку та сфери послуг за 2017 рік", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
6,"Про затвердження Положення про порядок списання майна, що є комунальною власністю територіальної громади міста Кам’янець-Подільського", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
7,"Про затвердження Положення про порядок списання майна, що є комунальною власністю територіальної громади міста Кам’янець-Подільського", ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
8,"Про надання згоди на прийняття в комунальну власність міста нежитлової будівлі по вул. Зантуська, 4", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
9,Про втрату чинності рішення сесії міської ради від 26.04.2017 року № 6/32, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
10,Про затвердження Положення про аукціонну комісію, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
