id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гамалій Андрій Вячеславович,Гордійчук Валерій Григорович,Гурома Анатолій Степанович,Гурома Степан Анатолійович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Костинюк Володимир Володимирович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Наглюк Юлія Вікторівна,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Посітко Михайло Володимирович,Розбам Микола Нюсевич,Савчук Наталія Федорівна,Сімашкевич Михайло Євстафійович,Слободян Валерій Анатолійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
1,Про звернення до Президента України та Кабінету Міністрів України щодо сприяння у фінансуванні спорудження Меморіалу Присязі на вірність Україні.,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
2,Про затвердження звіту «Про виконання бюджету міста Кам’янця-Подільського за 9  місяців 2018 року».,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
3,Про затвердження звіту «Про виконання бюджету міста Кам’янця-Подільського за 9  місяців 2018 року».,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
4,Про внесення змін до додатка 2 рішення 41 сесії міської ради від 16.04.2013  року №  106 «Про укладання договору про погашення заборгованості комунального підприємства «Служба єдиного замовника» перед територіальною громадою міста за виконання гарантійних зобов’язань».,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
5,Про затвердження звіту про виконання Програми «Санітарне утримання території міста Кам’янця-Подільського на 2018 рік».,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
6,Про затвердження звіту про виконання Програми «Утримання кладовищ міста Кам’янця-Подільського на 2018 рік».,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
7,Про затвердження Програми «Благоустрій м. Кам’янця-Подільського на 2019 рік».,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
8,"Про визнання таким, що втратило чинність, рішення шістдесятої сесії міської ради від 02.10.2018 № 13/60.",НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
9,Про затвердження Програми приватизації майна комунальної власності територіальної громади міста Кам’янець-Подільський на 2019 рік.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
10,Про затвердження плану діяльності міської ради з підготовки проектів регуляторних актів на 2019 рік.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
11,Про внесення змін до рішення 60 сесії міської ради VІІ скликання від 02.10.2018 №  6/60.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
12,"Про прийняття в комунальну власність міста зовнішніх мереж, що живлять житловий будинок по вул. Огієнко, 10 “а”
Про передачу з балансу ДЕРІМ в статутний капітал КП “Міськтепловоденергія” зовнішніх мереж, що живлять житловий будинок по вул. Огієнка, 10 “а”",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
13,"Про прийняття в комунальну власність міста зовнішніх мереж, що живлять житловий будинок по вул.  Огієнка, 10 «а».",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
14,Про виділення коштів з міського бюджету на збільшення статутного капіталу КП  «Міськтепловоденергія».,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
15,"Програма фінансової КП підприємства “Міськтепловоденергія”. Про звернення до Кабінету Міністрів України, Міністерства фінансів України.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
16,Блок питань 12-14. Програма «Харчування дітей» на 2019 рік. Програма «Розвиток та підтримка наукова-дослідницької роботи...» на 2019-2020н.р. Програма «Підтримка інтелектуально обдарованих дітей міста» нра 2019 рік.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
17,"Блок питань 15-16. Програма підтримки обдарованих дітей, дитячих та молодіжних творчих колективів міста Кам'янця-Подільського на 2019рік. Програма підготовки та проведення культуррно-мистецьких масових заходів в м. Кам'янці-Подільському на 2019 рік.",ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
18,Блок питань 15-16. ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
19,Звернення до Кабінету Міністрів України щодо збереження об’єктів культурної спадщини Кам’янець-Подільського державного історичного музею-заповідника,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
20,"Про затвердження Програми підготовки і проведення загальнодержавних та професійних свят, ювілейних дат на 2019 рік.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
21,"Про затвердження «Комплексної програми взаємодії військоваї частини А1884 та Кам'янець-Подільської міської ради, її виконавчих органів щодо захисту життя, миру і спокою українських громадян, територіальної цілісності, свободи і незалежності України на 2019 рік”",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
22,"Блок питань: 19-22
Про реорганізацію Кам’янець-Подільської міської лікарні № 1.
Про реорганізацію Міської поліклініки № 1.
Про реорганізацію Міської дитячої поліклініки № 1.
Про реорганізацію Кам’янець-Подільського перинатального центру",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
23,Про перейменування вулиці Папаніна в м. Кам’янці-Подільському.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
24,"Про внесення змін до Програми розроблення містобудівної та землевпорядної документації у місті Кам’янці-Подільському на 2016 - 2019 роки, затвердженої рішенням 4 (позачергової) сесії Кам’янець-Подільської міської ради VIІ скликання від 23 грудня 2015 року №  18/4 «Про затвердження Програми розроблення містобудівної та землевпорядної документації у місті Кам’янці-Подільському на 2016 - 2019 роки».",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
25,"Блок питань: 25-26
Затвердження протоколу засідання з розгляду і вирішення земельних спорів від 12 жовтня 2018 року
Затвердження протоколу засідання з розгляду і вирішення земельних спорів від 26 жовтня 2018 року",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
26,Про затвердження протоколу засідання постійно діючої комісії з розгляду і вирішення земельних спорів від 02 листопада 2018 року.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
27,Про дострокове припинення повноважень депутата Кам’янець-Подільської міської ради VІІ скликання.,НЕ ГОЛОСУВАВ,ЗА,ПРОТИ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
