id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Бойко Андрій Анатолійович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гордійчук Валерій Григорович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Жильчук Олександр Борисович,Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович,Костинюк Володимир Володимирович,Микуляк Іван Михайлович,Наглюк Юлія Вікторівна,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Посітко Михайло Володимирович, Савчук Наталія Федорівна,Сімашкевич Михайло Євстафійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
1,Про затвердження Програми соціально-економічного та культурного розвитку м.  Кам’янця-Подільського на 2019 рік.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
2,Про затвердження Програми соціально-економічного та культурного розвитку м.  Кам’янця-Подільського на 2019 рік.,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
3,Про внесення змін до рішення 54 сесії міської ради VІІ скликання від 03.05.2018 № 10/54.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
4,"Блок питань: 8-12
Про надання дозволу КП  «Управлінська компанія «Господар» Кам’янець-Подільської міської ради на отримання кредитного ліміту на поточний рахунок.
Про надання дозволу КП  «Управлінська компанія «Житловик» Кам’янець-Подільської міської ради на отримання кредитного ліміту на поточний рахунок.
Про надання дозволу КП  «Управлінська компанія «Південь» Кам’янець-Подільської міської ради на отримання кредитного ліміту на поточний рахунок.
Про надання дозволу ДП «Управлінська компанія «Південне» КП  «Управлінська компанія «Південь» Кам’янець-Подільської міської ради на отримання кредитного ліміту на поточний рахунок.
Про надання дозволу КП  «Управлінська компанія «Добробут» Кам’янець-Подільської міської ради на отримання кредитного ліміту на поточний рахунок.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
5,Про затвердження Програми «Теплий дім» на 2019 рік.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
6,"Про міську Програму сприяння роботі Кам'янець-Подільського об’єднаного міського військового комісаріату щодо перевезення громадян, що направляються для проходження строкової військової служби та військової служби за контрактом у Збройні Сили України на 2019 рік.",ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,РІШЕННЯ ПРИЙНЯТО
7,Про затвердження Програми «Забезпечення дітей хворих на цукровий діабет 1  типу виробами медичного призначення на 2019 рік».,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
8,Про затвердження Програми «Забезпечення дітей хворих на цукровий діабет 1  типу виробами медичного призначення на 2019 рік».,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
9,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Хмельницьке шосе, 32 та передачу її в оренду ТзОВ “Берест-2012”.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
10,Про міський бюджет на 2019 рік.,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
