id,FullAskText, Бабчинський Олександр Васильович, Бенкендорф Геннадій Данилович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гамалій Андрій Вячеславович, Дюднєв Артем Михайлович, Жильчук Олександр Борисович, Качуровський Анатолій Іванович, Кобильник Василь Володимирович, Конюшенко Андрій Олександрович, Костинюк Володимир Володимирович, Мазій Олена Миколаївна, Мастикаш Андрій Ігорович, Микуляк Іван Михайлович, Невенчан Геннадій Володимирович, Пливанюк Юрій Васильович, Посітко Михайло Володимирович, Розбам Микола Нюсевич, Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович, Слободян Валерій Анатолійович, Старченко Світлана Володимирівна, Ткач Олег Васильович, Ткачук Олександр Анатолійович, Цвігун Борис Ярославович, Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович, Шуханов Микола Макарович, Яриновський Юрій Леонідович,result
1,Про виконання плану роботи міської ради у IІ  півріччі 2018 року та затвердження плану роботи міської ради на І  півріччя 2019 року., УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
2,Про виконання плану роботи міської ради у IІ  півріччі 2018 року та затвердження плану роботи міської ради на І  півріччя 2019 року., ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
3,Про виконання плану роботи міської ради у IІ  півріччі 2018 року та затвердження плану роботи міської ради на І  півріччя 2019 року., ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
4,Про виконання плану роботи міської ради у IІ  півріччі 2018 року та затвердження плану роботи міської ради на І  півріччя 2019 року., ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
5,Про дострокове припинення повноважень депутата Кам’янець-Подільської міської ради VІІ скликання., УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ПРОТИ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
6,Про затвердження «Стратегії підвищення рівня безпеки дорожнього руху в м.  Кам’янець-Подільський до 2025 року»., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
7,Про затвердження «Стратегії підвищення рівня безпеки дорожнього руху в м.  Кам’янець-Подільський до 2025 року»., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
8,Про затвердження Програми «Благоустрій Старого міста на 2019-2025 роки»., НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
9,Про затвердження Програми «Благоустрій Старого міста на 2019-2025 роки»., НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
10,Про затвердження Програми «Благоустрій Старого міста на 2019-2025 роки»., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
